Venue,Court,Date,Time Start,Time End
Venue 0,Court 0,2020-03-25,18h25,20h55
Venue 0,Court 0,2020-03-25,20h55,22h05
Venue 1,Court 0,2020-03-25,18h40,20h00
Venue 1,Court 0,2020-03-25,21h50,22h50
Venue 1,Court 1,2020-03-25,08h10,15h30
Venue 1,Court 1,2020-03-25,17h35,20h25
Venue 1,Court 1,2020-03-25,21h35,22h50
Venue 2,Court 0,2020-03-25,21h10,22h10
Venue 2,Court 1,2020-03-25,19h35,21h50
Venue 2,Court 1,2020-03-25,21h55,22h55
Venue 2,Court 2,2020-03-25,17h50,21h00
Venue 2,Court 2,2020-03-25,21h10,22h20
Venue 2,Court 3,2020-03-25,17h45,20h45
Venue 2,Court 3,2020-03-25,21h35,22h50
Venue 2,Court 4,2020-03-25,08h45,09h55
Venue 2,Court 4,2020-03-25,12h20,21h35
Venue 2,Court 4,2020-03-25,21h40,22h40
Venue 3,Court 0,2020-03-25,12h40,20h00
Venue 3,Court 0,2020-03-25,21h30,22h35
Venue 3,Court 1,2020-03-25,15h50,22h35
Venue 4,Court 0,2020-03-25,15h35,16h35
Venue 4,Court 0,2020-03-25,17h30,21h15
Venue 4,Court 0,2020-03-25,21h15,22h45
Venue 4,Court 1,2020-03-25,14h25,21h50
Venue 4,Court 1,2020-03-25,21h50,22h50
Venue 4,Court 2,2020-03-25,15h50,16h50
Venue 4,Court 2,2020-03-25,21h40,22h45
Venue 5,Court 0,2020-03-25,09h20,20h15
Venue 5,Court 0,2020-03-25,21h45,22h50
Venue 5,Court 1,2020-03-25,08h30,15h20
Venue 5,Court 1,2020-03-25,17h40,20h45
Venue 5,Court 1,2020-03-25,20h45,22h30
Venue 6,Court 0,2020-03-25,15h30,19h40
Venue 6,Court 0,2020-03-25,19h45,22h10
Venue 6,Court 1,2020-03-25,19h30,21h10
Venue 6,Court 1,2020-03-25,21h35,22h35
Venue 6,Court 2,2020-03-25,21h00,22h45
Venue 7,Court 0,2020-03-25,10h35,18h20
Venue 7,Court 0,2020-03-25,21h20,22h35
Venue 7,Court 1,2020-03-25,21h30,22h30
Venue 7,Court 2,2020-03-25,19h25,20h40
Venue 7,Court 2,2020-03-25,21h50,22h50
Venue 8,Court 0,2020-03-25,17h45,20h05
Venue 8,Court 0,2020-03-25,20h20,22h45
Venue 8,Court 1,2020-03-25,13h15,21h15
Venue 8,Court 1,2020-03-25,21h40,22h45
Venue 9,Court 0,2020-03-25,10h15,20h55
Venue 9,Court 0,2020-03-25,21h15,22h50
Venue 9,Court 1,2020-03-25,10h10,22h35
Venue 10,Court 0,2020-03-25,11h00,22h40
Venue 10,Court 1,2020-03-25,15h00,19h55
Venue 10,Court 1,2020-03-25,20h00,22h40
Venue 11,Court 0,2020-03-25,10h25,19h40
Venue 11,Court 0,2020-03-25,19h45,21h30
Venue 11,Court 0,2020-03-25,21h45,22h50
Venue 12,Court 0,2020-03-25,13h30,18h20
Venue 12,Court 0,2020-03-25,21h55,22h55
Venue 12,Court 1,2020-03-25,10h50,21h15
Venue 12,Court 1,2020-03-25,21h35,22h50
Venue 12,Court 2,2020-03-25,17h20,19h35
Venue 12,Court 2,2020-03-25,21h05,22h35
Venue 13,Court 0,2020-03-25,09h50,20h45
Venue 13,Court 0,2020-03-25,21h35,22h40
Venue 14,Court 0,2020-03-25,18h20,20h50
Venue 14,Court 0,2020-03-25,21h00,22h15
Venue 14,Court 1,2020-03-25,17h10,20h20
Venue 14,Court 1,2020-03-25,20h45,22h25
Venue 15,Court 0,2020-03-25,12h45,20h55
Venue 15,Court 0,2020-03-25,20h55,22h25
Venue 15,Court 1,2020-03-25,09h25,14h00
Venue 15,Court 1,2020-03-25,18h35,20h25
Venue 15,Court 1,2020-03-25,20h25,21h50
Venue 15,Court 1,2020-03-25,21h50,22h50
Venue 16,Court 0,2020-03-25,12h10,14h40
Venue 16,Court 0,2020-03-25,20h05,21h45
Venue 16,Court 0,2020-03-25,21h45,22h50
Venue 16,Court 1,2020-03-25,18h05,21h30
Venue 16,Court 1,2020-03-25,21h30,22h45
Venue 16,Court 2,2020-03-25,10h25,20h10
Venue 16,Court 2,2020-03-25,21h15,22h40
Venue 16,Court 3,2020-03-25,08h30,14h10
Venue 16,Court 3,2020-03-25,20h35,22h50
Venue 17,Court 0,2020-03-25,16h50,20h55
Venue 17,Court 0,2020-03-25,21h20,22h35
Venue 0,Court 0,2020-03-26,17h05,19h10
Venue 0,Court 0,2020-03-26,21h55,22h55
Venue 1,Court 0,2020-03-26,18h55,22h40
Venue 1,Court 1,2020-03-26,17h00,21h05
Venue 1,Court 1,2020-03-26,21h50,22h50
Venue 2,Court 0,2020-03-26,10h10,12h05
Venue 2,Court 0,2020-03-26,18h35,21h40
Venue 2,Court 0,2020-03-26,21h50,22h50
Venue 2,Court 1,2020-03-26,13h40,17h55
Venue 2,Court 1,2020-03-26,18h50,21h50
Venue 2,Court 1,2020-03-26,21h55,22h55
Venue 2,Court 2,2020-03-26,11h15,19h10
Venue 2,Court 2,2020-03-26,19h25,22h15
Venue 2,Court 3,2020-03-26,14h45,20h15
Venue 2,Court 3,2020-03-26,20h50,22h45
Venue 2,Court 4,2020-03-26,11h10,22h20
Venue 3,Court 0,2020-03-26,14h50,19h10
Venue 3,Court 0,2020-03-26,19h25,21h45
Venue 3,Court 0,2020-03-26,21h45,22h45
Venue 3,Court 1,2020-03-26,17h05,21h00
Venue 3,Court 1,2020-03-26,21h00,22h25
Venue 4,Court 0,2020-03-26,08h55,20h35
Venue 4,Court 0,2020-03-26,21h25,22h35
Venue 4,Court 1,2020-03-26,09h55,19h20
Venue 4,Court 1,2020-03-26,21h55,22h55
Venue 4,Court 2,2020-03-26,12h25,21h30
Venue 4,Court 2,2020-03-26,21h35,22h45
Venue 5,Court 0,2020-03-26,18h10,21h45
Venue 5,Court 0,2020-03-26,21h50,22h50
Venue 5,Court 1,2020-03-26,20h30,22h30
Venue 6,Court 0,2020-03-26,17h05,20h35
Venue 6,Court 0,2020-03-26,21h20,22h20
Venue 6,Court 1,2020-03-26,11h15,14h25
Venue 6,Court 1,2020-03-26,14h35,19h25
Venue 6,Court 1,2020-03-26,21h40,22h50
Venue 6,Court 2,2020-03-26,10h20,20h00
Venue 6,Court 2,2020-03-26,21h10,22h10
Venue 7,Court 0,2020-03-26,16h30,22h25
Venue 7,Court 1,2020-03-26,10h30,17h25
Venue 7,Court 1,2020-03-26,20h45,22h15
Venue 7,Court 2,2020-03-26,18h50,19h55
Venue 7,Court 2,2020-03-26,20h55,22h25
Venue 8,Court 0,2020-03-26,18h55,21h10
Venue 8,Court 0,2020-03-26,21h55,22h55
Venue 8,Court 1,2020-03-26,13h50,21h25
Venue 8,Court 1,2020-03-26,21h50,22h50
Venue 9,Court 0,2020-03-26,20h30,21h35
Venue 9,Court 0,2020-03-26,21h40,22h40
Venue 9,Court 1,2020-03-26,11h00,19h30
Venue 9,Court 1,2020-03-26,21h05,22h30
Venue 10,Court 0,2020-03-26,08h45,20h45
Venue 10,Court 0,2020-03-26,20h45,22h50
Venue 10,Court 1,2020-03-26,20h15,21h35
Venue 10,Court 1,2020-03-26,21h40,22h40
Venue 11,Court 0,2020-03-26,12h50,18h35
Venue 11,Court 0,2020-03-26,19h20,22h45
Venue 12,Court 0,2020-03-26,11h30,18h00
Venue 12,Court 0,2020-03-26,20h15,22h15
Venue 12,Court 1,2020-03-26,12h00,18h05
Venue 12,Court 1,2020-03-26,20h25,21h35
Venue 12,Court 1,2020-03-26,21h35,22h50
Venue 12,Court 2,2020-03-26,19h05,22h30
Venue 13,Court 0,2020-03-26,18h05,20h20
Venue 13,Court 0,2020-03-26,20h45,21h50
Venue 13,Court 0,2020-03-26,21h55,22h55
Venue 14,Court 0,2020-03-26,16h05,18h05
Venue 14,Court 0,2020-03-26,18h20,21h55
Venue 14,Court 0,2020-03-26,21h55,22h55
Venue 14,Court 1,2020-03-26,17h25,20h00
Venue 14,Court 1,2020-03-26,20h20,22h25
Venue 15,Court 0,2020-03-26,10h25,14h55
Venue 15,Court 0,2020-03-26,16h50,20h00
Venue 15,Court 0,2020-03-26,20h05,21h35
Venue 15,Court 0,2020-03-26,21h40,22h40
Venue 15,Court 1,2020-03-26,15h20,16h30
Venue 15,Court 1,2020-03-26,16h35,21h20
Venue 15,Court 1,2020-03-26,21h40,22h45
Venue 16,Court 0,2020-03-26,08h30,10h15
Venue 16,Court 0,2020-03-26,14h40,22h15
Venue 16,Court 1,2020-03-26,15h55,19h30
Venue 16,Court 1,2020-03-26,20h20,22h00
Venue 16,Court 2,2020-03-26,10h00,16h05
Venue 16,Court 2,2020-03-26,21h55,22h55
