Team Name,Division Name,Coach Name
Div0 Team 0,Division 0,Coach 0
Div0 Team 1,Division 0,Coach 1
Div0 Team 2,Division 0,Coach 2
Div0 Team 3,Division 0,Coach 3
Div0 Team 4,Division 0,Coach 4
Div0 Team 5,Division 0,Coach 5
Div0 Team 6,Division 0,Coach 6
Div0 Team 7,Division 0,Coach 7
Div0 Team 8,Division 0,Coach 8
Div0 Team 9,Division 0,Coach 9
Div0 Team 10,Division 0,Coach 64
Div0 Team 11,Division 0,Coach 11
Div0 Team 12,Division 0,Coach 12
Div0 Team 13,Division 0,Coach 13
Div0 Team 14,Division 0,Coach 14
Div0 Team 15,Division 0,Coach 15
Div0 Team 16,Division 0,Coach 16
Div0 Team 17,Division 0,Coach 17
Div0 Team 18,Division 0,Coach 18
Div0 Team 19,Division 0,Coach 19
Div0 Team 20,Division 0,Coach 20
Div0 Team 21,Division 0,Coach 21
Div0 Team 22,Division 0,Coach 22
Div0 Team 23,Division 0,Coach 23
Div0 Team 24,Division 0,Coach 24
Div0 Team 25,Division 0,Coach 25
Div0 Team 26,Division 0,Coach 26
Div0 Team 27,Division 0,Coach 27
Div0 Team 28,Division 0,Coach 28
Div0 Team 29,Division 0,Coach 29
Div0 Team 30,Division 0,Coach 30
Div0 Team 31,Division 0,Coach 31
Div0 Team 32,Division 0,Coach 32
Div0 Team 33,Division 0,Coach 33
Div0 Team 34,Division 0,Coach 34
Div0 Team 35,Division 0,Coach 193
Div0 Team 36,Division 0,Coach 36
Div0 Team 37,Division 0,Coach 200
Div0 Team 38,Division 0,Coach 38
Div0 Team 39,Division 0,Coach 39
Div0 Team 40,Division 0,Coach 40
Div0 Team 41,Division 0,Coach 41
Div1 Team 0,Division 1,Coach 42
Div1 Team 1,Division 1,Coach 43
Div1 Team 2,Division 1,Coach 44
Div1 Team 3,Division 1,Coach 45
Div1 Team 4,Division 1,Coach 46
Div1 Team 5,Division 1,Coach 47
Div1 Team 6,Division 1,Coach 48
Div1 Team 7,Division 1,Coach 49
Div1 Team 8,Division 1,Coach 50
Div1 Team 9,Division 1,Coach 51
Div1 Team 10,Division 1,Coach 229
Div1 Team 11,Division 1,Coach 53
Div1 Team 12,Division 1,Coach 54
Div1 Team 13,Division 1,Coach 136
Div1 Team 14,Division 1,Coach 56
Div1 Team 15,Division 1,Coach 57
Div1 Team 16,Division 1,Coach 58
Div1 Team 17,Division 1,Coach 59
Div1 Team 18,Division 1,Coach 60
Div1 Team 19,Division 1,Coach 61
Div1 Team 20,Division 1,Coach 62
Div1 Team 21,Division 1,Coach 63
Div1 Team 22,Division 1,Coach 64
Div1 Team 23,Division 1,Coach 65
Div1 Team 24,Division 1,Coach 66
Div1 Team 25,Division 1,Coach 67
Div1 Team 26,Division 1,Coach 68
Div1 Team 27,Division 1,Coach 69
Div1 Team 28,Division 1,Coach 70
Div1 Team 29,Division 1,Coach 71
Div1 Team 30,Division 1,Coach 341
Div1 Team 31,Division 1,Coach 73
Div1 Team 32,Division 1,Coach 74
Div1 Team 33,Division 1,Coach 75
Div1 Team 34,Division 1,Coach 76
Div1 Team 35,Division 1,Coach 77
Div1 Team 36,Division 1,Coach 78
Div1 Team 37,Division 1,Coach 79
Div1 Team 38,Division 1,Coach 80
Div1 Team 39,Division 1,Coach 81
Div1 Team 40,Division 1,Coach 82
Div1 Team 41,Division 1,Coach 125
Div1 Team 42,Division 1,Coach 84
Div1 Team 43,Division 1,Coach 85
Div1 Team 44,Division 1,Coach 86
Div1 Team 45,Division 1,Coach 87
Div1 Team 46,Division 1,Coach 88
Div1 Team 47,Division 1,Coach 22
Div2 Team 0,Division 2,Coach 90
Div2 Team 1,Division 2,Coach 91
Div2 Team 2,Division 2,Coach 92
Div2 Team 3,Division 2,Coach 93
Div2 Team 4,Division 2,Coach 94
Div2 Team 5,Division 2,Coach 95
Div2 Team 6,Division 2,Coach 96
Div2 Team 7,Division 2,Coach 97
Div2 Team 8,Division 2,Coach 98
Div2 Team 9,Division 2,Coach 99
Div2 Team 10,Division 2,Coach 100
Div2 Team 11,Division 2,Coach 101
Div2 Team 12,Division 2,Coach 102
Div2 Team 13,Division 2,Coach 103
Div2 Team 14,Division 2,Coach 104
Div2 Team 15,Division 2,Coach 247
Div2 Team 16,Division 2,Coach 106
