Team,Date,Constraint Type,Constraint Time,Weight
Div1 Team 24,2020-04-09,after,13h20,5
Div2 Team 44,2020-04-22,before,18h15,2
Div3 Team 52,2020-04-19,before,18h35,8
Div8 Team 5,2020-04-04,after,19h15,10
Div3 Team 3,2020-03-26,after,19h45,8
Div8 Team 8,2020-04-11,after,13h45,8
Div5 Team 7,2020-04-03,before,10h00,8
Div6 Team 4,2020-04-01,before,20h30,10
Div4 Team 35,2020-04-02,before,08h45,5
Div3 Team 39,2020-03-31,before,21h25,3
Div4 Team 9,2020-04-10,after,08h10,3
Div1 Team 42,2020-04-01,after,14h30,3
Div7 Team 15,2020-04-01,before,16h55,8
Div4 Team 38,2020-03-30,before,20h55,5
Div3 Team 24,2020-03-26,before,14h05,8
Div1 Team 33,2020-03-25,after,17h00,5
Div8 Team 5,2020-04-04,before,22h05,9
Div3 Team 14,2020-04-26,before,12h05,8
Div7 Team 10,2020-04-13,after,12h15,4
Div1 Team 7,2020-03-31,after,21h45,3
Div5 Team 0,2020-03-31,after,09h20,10
Div3 Team 2,2020-03-30,after,14h10,8
Div2 Team 40,2020-04-07,before,21h50,1
Div4 Team 6,2020-04-17,before,16h20,10
Div2 Team 44,2020-04-14,before,20h05,8
Div1 Team 9,2020-03-28,before,21h40,9
Div2 Team 38,2020-03-30,after,20h15,10
Div4 Team 31,2020-04-13,before,08h20,1
Div2 Team 23,2020-04-21,after,22h25,2
Div2 Team 18,2020-04-18,after,21h05,4
Div2 Team 48,2020-04-21,before,14h00,1
Div0 Team 35,2020-03-30,after,10h50,7
Div2 Team 0,2020-04-02,after,11h35,9
Div6 Team 18,2020-04-26,after,22h20,2
Div1 Team 13,2020-04-04,before,21h20,3
Div2 Team 1,2020-04-17,after,19h00,7
Div3 Team 31,2020-03-28,before,11h55,10
Div0 Team 7,2020-04-27,before,15h35,8
Div5 Team 26,2020-03-27,after,10h30,7
Div2 Team 41,2020-04-18,after,19h20,6
Div2 Team 4,2020-04-09,after,10h20,6
Div2 Team 30,2020-04-05,before,19h10,3
