Venue,Court,Date,Time Start,Time End
Venue 0,Court 0,2020-03-25,10h50,14h15
Venue 0,Court 0,2020-03-25,17h15,21h15
Venue 0,Court 0,2020-03-25,21h30,22h35
Venue 1,Court 0,2020-03-25,08h00,16h55
Venue 1,Court 0,2020-03-25,17h40,22h35
Venue 2,Court 0,2020-03-25,18h50,21h30
Venue 2,Court 0,2020-03-25,21h30,22h30
Venue 2,Court 1,2020-03-25,13h40,21h15
Venue 2,Court 1,2020-03-25,21h45,22h45
Venue 3,Court 0,2020-03-25,08h45,11h25
Venue 3,Court 0,2020-03-25,14h00,16h05
Venue 3,Court 0,2020-03-25,16h15,19h50
Venue 3,Court 0,2020-03-25,21h50,22h50
Venue 3,Court 1,2020-03-25,18h25,21h35
Venue 3,Court 1,2020-03-25,21h40,22h45
Venue 0,Court 0,2020-03-26,08h40,15h10
Venue 0,Court 0,2020-03-26,18h15,21h35
Venue 0,Court 0,2020-03-26,21h50,22h50
Venue 1,Court 0,2020-03-26,19h05,22h25
Venue 2,Court 0,2020-03-26,18h15,20h40
Venue 2,Court 0,2020-03-26,20h40,22h30
Venue 2,Court 1,2020-03-26,19h45,21h55
Venue 2,Court 1,2020-03-26,21h55,22h55
Venue 3,Court 0,2020-03-26,17h25,21h25
Venue 3,Court 0,2020-03-26,21h50,22h50
Venue 3,Court 1,2020-03-26,17h15,18h30
Venue 3,Court 1,2020-03-26,21h55,22h55
Venue 0,Court 0,2020-03-27,21h10,22h15
Venue 1,Court 0,2020-03-27,16h50,20h10
Venue 1,Court 0,2020-03-27,20h30,22h15
Venue 2,Court 0,2020-03-27,14h05,20h05
Venue 2,Court 0,2020-03-27,20h55,22h00
Venue 2,Court 1,2020-03-27,21h05,22h35
Venue 3,Court 0,2020-03-27,15h00,21h10
Venue 3,Court 0,2020-03-27,21h30,22h30
Venue 3,Court 1,2020-03-27,11h25,14h00
Venue 3,Court 1,2020-03-27,21h30,22h50
Venue 0,Court 0,2020-03-28,14h35,15h40
Venue 0,Court 0,2020-03-28,18h50,20h50
Venue 0,Court 0,2020-03-28,21h45,22h50
Venue 1,Court 0,2020-03-28,17h05,18h35
Venue 1,Court 0,2020-03-28,21h25,22h30
Venue 2,Court 0,2020-03-28,17h00,20h05
Venue 2,Court 0,2020-03-28,21h15,22h45
Venue 2,Court 1,2020-03-28,11h10,14h55
Venue 2,Court 1,2020-03-28,19h45,21h45
Venue 2,Court 1,2020-03-28,21h50,22h50
Venue 3,Court 0,2020-03-28,08h45,09h55
Venue 3,Court 0,2020-03-28,12h20,21h35
Venue 3,Court 0,2020-03-28,21h40,22h40
Venue 3,Court 1,2020-03-28,12h40,20h00
