Team Name,Division Name,Coach Name
Div0 Team 0,Division 0,Coach 21
Div0 Team 1,Division 0,Coach 17
Div0 Team 2,Division 0,Coach 2
Div0 Team 3,Division 0,Coach 3
Div0 Team 4,Division 0,Coach 4
Div0 Team 5,Division 0,Coach 5
Div0 Team 6,Division 0,Coach 6
Div0 Team 7,Division 0,Coach 7
Div1 Team 0,Division 1,Coach 8
Div1 Team 1,Division 1,Coach 9
Div1 Team 2,Division 1,Coach 10
Div1 Team 3,Division 1,Coach 11
Div1 Team 4,Division 1,Coach 12
Div1 Team 5,Division 1,Coach 13
Div1 Team 6,Division 1,Coach 14
Div1 Team 7,Division 1,Coach 15
Div1 Team 8,Division 1,Coach 16
Div1 Team 9,Division 1,Coach 17
Div1 Team 10,Division 1,Coach 18
Div1 Team 11,Division 1,Coach 19
Div1 Team 12,Division 1,Coach 20
Div1 Team 13,Division 1,Coach 21
Div1 Team 14,Division 1,Coach 22
Div1 Team 15,Division 1,Coach 23
Div1 Team 16,Division 1,Coach 24
Div1 Team 17,Division 1,Coach 3
Div1 Team 18,Division 1,Coach 26
Div1 Team 19,Division 1,Coach 27
Div1 Team 20,Division 1,Coach 28
Div1 Team 21,Division 1,Coach 29
Div1 Team 22,Division 1,Coach 30
Div1 Team 23,Division 1,Coach 31
Div1 Team 24,Division 1,Coach 2
Div1 Team 25,Division 1,Coach 33
Div1 Team 26,Division 1,Coach 5
Div1 Team 27,Division 1,Coach 35
Div1 Team 28,Division 1,Coach 36
Div1 Team 29,Division 1,Coach 37
Div1 Team 30,Division 1,Coach 38
Div1 Team 31,Division 1,Coach 39
Div1 Team 32,Division 1,Coach 40
Div1 Team 33,Division 1,Coach 41
Div1 Team 34,Division 1,Coach 42
Div1 Team 35,Division 1,Coach 43
Div1 Team 36,Division 1,Coach 44
Div1 Team 37,Division 1,Coach 45
Div1 Team 38,Division 1,Coach 46
Div1 Team 39,Division 1,Coach 47
