Team,Date,Constraint Type,Constraint Time,Weight
Div1 Team 35,2020-03-30,after,11h20,4
Div0 Team 6,2020-03-29,before,12h50,10
Div0 Team 7,2020-03-27,before,12h30,6
Div1 Team 15,2020-03-29,after,09h40,5
Div1 Team 31,2020-04-02,before,20h00,9
Div1 Team 26,2020-03-28,after,22h30,6
Div1 Team 32,2020-04-15,after,12h15,5
Div0 Team 0,2020-03-27,before,21h50,2
Div1 Team 20,2020-04-06,before,22h50,6
Div1 Team 0,2020-04-06,after,11h45,1
Div1 Team 7,2020-03-25,before,22h30,7
Div0 Team 5,2020-03-30,after,15h40,9
Div1 Team 2,2020-04-06,before,08h20,5
Div0 Team 7,2020-04-12,after,18h20,7
Div0 Team 3,2020-04-14,before,13h30,9
Div1 Team 11,2020-04-13,after,08h20,9
Div1 Team 34,2020-03-29,after,11h35,5
Div1 Team 19,2020-03-31,before,15h35,8
Div0 Team 4,2020-03-29,before,17h55,3
Div1 Team 6,2020-03-27,before,15h10,8
Div1 Team 28,2020-04-16,after,09h20,7
Div1 Team 5,2020-03-27,before,17h35,8
Div1 Team 11,2020-04-16,before,20h10,1
Div0 Team 2,2020-03-29,before,20h50,9
Div0 Team 3,2020-04-07,after,14h00,8
Div1 Team 34,2020-03-30,after,19h55,7
Div1 Team 35,2020-03-28,before,11h50,2
Div1 Team 1,2020-04-15,after,14h35,3
Div1 Team 24,2020-04-07,after,15h25,5
Div1 Team 3,2020-04-11,before,07h55,9
