Team Name,Division Name,Coach Name
Div0 Team 0,Division 0,Coach 0
Div0 Team 1,Division 0,Coach 1
Div0 Team 2,Division 0,Coach 2
Div0 Team 3,Division 0,Coach 17
Div0 Team 4,Division 0,Coach 4
Div0 Team 5,Division 0,Coach 15
Div0 Team 6,Division 0,Coach 6
Div0 Team 7,Division 0,Coach 7
Div1 Team 0,Division 1,Coach 8
Div1 Team 1,Division 1,Coach 9
Div1 Team 2,Division 1,Coach 35
Div1 Team 3,Division 1,Coach 11
Div1 Team 4,Division 1,Coach 12
Div1 Team 5,Division 1,Coach 13
Div2 Team 0,Division 2,Coach 14
Div2 Team 1,Division 2,Coach 15
Div2 Team 2,Division 2,Coach 16
Div2 Team 3,Division 2,Coach 5
Div2 Team 4,Division 2,Coach 17
Div2 Team 5,Division 2,Coach 19
Div2 Team 6,Division 2,Coach 20
Div2 Team 7,Division 2,Coach 21
Div2 Team 8,Division 2,Coach 22
Div2 Team 9,Division 2,Coach 23
Div2 Team 10,Division 2,Coach 24
Div3 Team 0,Division 3,Coach 3
Div3 Team 1,Division 3,Coach 26
Div3 Team 2,Division 3,Coach 8
Div3 Team 3,Division 3,Coach 28
Div3 Team 4,Division 3,Coach 29
Div3 Team 5,Division 3,Coach 30
Div3 Team 6,Division 3,Coach 31
Div3 Team 7,Division 3,Coach 2
Div3 Team 8,Division 3,Coach 33
Div3 Team 9,Division 3,Coach 5
Div3 Team 10,Division 3,Coach 35
Div4 Team 0,Division 4,Coach 36
Div4 Team 1,Division 4,Coach 37
Div4 Team 2,Division 4,Coach 38
Div4 Team 3,Division 4,Coach 39
Div4 Team 4,Division 4,Coach 40
Div4 Team 5,Division 4,Coach 41
