Team Name,Division Name,Coach Name
Div0 Team 0,Division 0,Coach 41
Div0 Team 1,Division 0,Coach 1
Div0 Team 2,Division 0,Coach 2
Div0 Team 3,Division 0,Coach 3
Div0 Team 4,Division 0,Coach 4
Div0 Team 5,Division 0,Coach 202
Div0 Team 6,Division 0,Coach 6
Div0 Team 7,Division 0,Coach 7
Div0 Team 8,Division 0,Coach 8
Div0 Team 9,Division 0,Coach 9
Div0 Team 10,Division 0,Coach 10
Div0 Team 11,Division 0,Coach 26
Div0 Team 12,Division 0,Coach 12
Div0 Team 13,Division 0,Coach 13
Div0 Team 14,Division 0,Coach 14
Div0 Team 15,Division 0,Coach 15
Div0 Team 16,Division 0,Coach 16
Div0 Team 17,Division 0,Coach 17
Div0 Team 18,Division 0,Coach 18
Div0 Team 19,Division 0,Coach 19
Div0 Team 20,Division 0,Coach 20
Div0 Team 21,Division 0,Coach 21
Div0 Team 22,Division 0,Coach 111
Div0 Team 23,Division 0,Coach 23
Div0 Team 24,Division 0,Coach 24
Div0 Team 25,Division 0,Coach 25
Div1 Team 0,Division 1,Coach 26
Div1 Team 1,Division 1,Coach 17
Div1 Team 2,Division 1,Coach 28
Div1 Team 3,Division 1,Coach 29
Div1 Team 4,Division 1,Coach 30
Div1 Team 5,Division 1,Coach 31
Div1 Team 6,Division 1,Coach 32
Div1 Team 7,Division 1,Coach 33
Div1 Team 8,Division 1,Coach 34
Div1 Team 9,Division 1,Coach 35
Div1 Team 10,Division 1,Coach 36
Div1 Team 11,Division 1,Coach 37
Div1 Team 12,Division 1,Coach 38
Div1 Team 13,Division 1,Coach 39
Div1 Team 14,Division 1,Coach 40
Div1 Team 15,Division 1,Coach 41
Div1 Team 16,Division 1,Coach 42
Div1 Team 17,Division 1,Coach 43
Div1 Team 18,Division 1,Coach 44
Div1 Team 19,Division 1,Coach 45
Div1 Team 20,Division 1,Coach 46
Div1 Team 21,Division 1,Coach 47
Div1 Team 22,Division 1,Coach 48
Div1 Team 23,Division 1,Coach 49
Div1 Team 24,Division 1,Coach 50
Div1 Team 25,Division 1,Coach 51
Div1 Team 26,Division 1,Coach 52
Div1 Team 27,Division 1,Coach 53
Div1 Team 28,Division 1,Coach 54
Div1 Team 29,Division 1,Coach 55
Div1 Team 30,Division 1,Coach 56
Div1 Team 31,Division 1,Coach 57
Div1 Team 32,Division 1,Coach 58
Div1 Team 33,Division 1,Coach 59
Div1 Team 34,Division 1,Coach 60
Div1 Team 35,Division 1,Coach 61
Div1 Team 36,Division 1,Coach 179
Div1 Team 37,Division 1,Coach 63
Div1 Team 38,Division 1,Coach 64
Div1 Team 39,Division 1,Coach 65
Div1 Team 40,Division 1,Coach 13
Div1 Team 41,Division 1,Coach 67
Div2 Team 0,Division 2,Coach 68
Div2 Team 1,Division 2,Coach 69
Div2 Team 2,Division 2,Coach 70
Div2 Team 3,Division 2,Coach 71
Div2 Team 4,Division 2,Coach 72
Div2 Team 5,Division 2,Coach 73
Div2 Team 6,Division 2,Coach 36
Div2 Team 7,Division 2,Coach 75
Div2 Team 8,Division 2,Coach 76
Div2 Team 9,Division 2,Coach 77
Div2 Team 10,Division 2,Coach 78
Div2 Team 11,Division 2,Coach 79
Div2 Team 12,Division 2,Coach 144
Div2 Team 13,Division 2,Coach 81
Div2 Team 14,Division 2,Coach 82
Div2 Team 15,Division 2,Coach 83
Div2 Team 16,Division 2,Coach 84
Div2 Team 17,Division 2,Coach 143
Div2 Team 18,Division 2,Coach 86
Div2 Team 19,Division 2,Coach 87
Div2 Team 20,Division 2,Coach 88
Div2 Team 21,Division 2,Coach 89
Div2 Team 22,Division 2,Coach 90
Div2 Team 23,Division 2,Coach 91
Div2 Team 24,Division 2,Coach 92
Div2 Team 25,Division 2,Coach 93
Div2 Team 26,Division 2,Coach 13
Div2 Team 27,Division 2,Coach 95
Div2 Team 28,Division 2,Coach 152
Div2 Team 29,Division 2,Coach 97
Div2 Team 30,Division 2,Coach 98
Div2 Team 31,Division 2,Coach 99
Div2 Team 32,Division 2,Coach 100
Div2 Team 33,Division 2,Coach 101
Div2 Team 34,Division 2,Coach 102
Div2 Team 35,Division 2,Coach 103
Div2 Team 36,Division 2,Coach 9
Div2 Team 37,Division 2,Coach 105
Div2 Team 38,Division 2,Coach 106
Div2 Team 39,Division 2,Coach 107
Div2 Team 40,Division 2,Coach 108
Div2 Team 41,Division 2,Coach 109
Div2 Team 42,Division 2,Coach 110
Div2 Team 43,Division 2,Coach 111
Div3 Team 0,Division 3,Coach 112
Div3 Team 1,Division 3,Coach 113
Div3 Team 2,Division 3,Coach 114
Div3 Team 3,Division 3,Coach 115
Div3 Team 4,Division 3,Coach 116
Div3 Team 5,Division 3,Coach 117
Div3 Team 6,Division 3,Coach 118
Div3 Team 7,Division 3,Coach 119
Div3 Team 8,Division 3,Coach 120
Div3 Team 9,Division 3,Coach 121
Div3 Team 10,Division 3,Coach 146
Div3 Team 11,Division 3,Coach 205
Div3 Team 12,Division 3,Coach 124
Div3 Team 13,Division 3,Coach 125
Div3 Team 14,Division 3,Coach 126
Div3 Team 15,Division 3,Coach 3
Div3 Team 16,Division 3,Coach 34
Div3 Team 17,Division 3,Coach 129
Div3 Team 18,Division 3,Coach 22
Div3 Team 19,Division 3,Coach 85
Div3 Team 20,Division 3,Coach 132
Div3 Team 21,Division 3,Coach 133
Div3 Team 22,Division 3,Coach 163
Div3 Team 23,Division 3,Coach 135
Div3 Team 24,Division 3,Coach 136
Div3 Team 25,Division 3,Coach 137
Div3 Team 26,Division 3,Coach 138
Div3 Team 27,Division 3,Coach 139
Div3 Team 28,Division 3,Coach 140
Div3 Team 29,Division 3,Coach 141
Div4 Team 0,Division 4,Coach 142
Div4 Team 1,Division 4,Coach 143
Div4 Team 2,Division 4,Coach 144
Div4 Team 3,Division 4,Coach 145
Div4 Team 4,Division 4,Coach 146
Div4 Team 5,Division 4,Coach 147
Div4 Team 6,Division 4,Coach 148
Div4 Team 7,Division 4,Coach 149
Div4 Team 8,Division 4,Coach 150
Div4 Team 9,Division 4,Coach 151
Div4 Team 10,Division 4,Coach 152
Div4 Team 11,Division 4,Coach 153
Div4 Team 12,Division 4,Coach 36
Div4 Team 13,Division 4,Coach 155
Div4 Team 14,Division 4,Coach 156
Div4 Team 15,Division 4,Coach 157
Div4 Team 16,Division 4,Coach 80
Div4 Team 17,Division 4,Coach 159
Div4 Team 18,Division 4,Coach 160
Div4 Team 19,Division 4,Coach 161
Div4 Team 20,Division 4,Coach 67
Div4 Team 21,Division 4,Coach 163
Div4 Team 22,Division 4,Coach 164
Div4 Team 23,Division 4,Coach 23
Div4 Team 24,Division 4,Coach 166
Div4 Team 25,Division 4,Coach 167
Div4 Team 26,Division 4,Coach 168
Div4 Team 27,Division 4,Coach 169
Div4 Team 28,Division 4,Coach 170
Div4 Team 29,Division 4,Coach 171
Div4 Team 30,Division 4,Coach 172
Div4 Team 31,Division 4,Coach 137
Div5 Team 0,Division 5,Coach 174
Div5 Team 1,Division 5,Coach 175
Div5 Team 2,Division 5,Coach 176
Div5 Team 3,Division 5,Coach 87
Div5 Team 4,Division 5,Coach 178
Div5 Team 5,Division 5,Coach 179
