Team,Date,Constraint Type,Constraint Time,Weight
Div6 Team 2,2020-04-11,after,21h05,9
Div4 Team 20,2020-04-04,after,17h50,3
Div0 Team 12,2020-04-16,after,12h25,6
Div2 Team 14,2020-04-16,after,12h40,1
Div4 Team 19,2020-04-02,before,16h55,6
Div0 Team 11,2020-04-12,before,10h30,5
Div1 Team 39,2020-03-28,after,16h45,2
Div5 Team 5,2020-04-21,after,11h00,9
Div4 Team 23,2020-04-01,before,19h30,10
Div5 Team 9,2020-04-09,before,18h25,10
Div4 Team 23,2020-03-25,after,16h15,4
Div2 Team 20,2020-03-25,after,09h20,3
Div4 Team 26,2020-04-03,after,15h25,3
Div5 Team 8,2020-04-18,after,22h35,4
Div5 Team 0,2020-04-18,before,12h50,3
Div4 Team 20,2020-04-19,before,13h45,2
Div3 Team 23,2020-03-27,after,12h35,1
Div4 Team 13,2020-03-25,before,19h30,2
Div1 Team 18,2020-04-15,before,15h10,7
Div2 Team 0,2020-04-13,after,09h05,3
Div2 Team 14,2020-04-16,before,17h50,9
Div5 Team 28,2020-03-25,after,08h10,3
Div2 Team 41,2020-04-19,after,10h20,4
Div0 Team 16,2020-04-20,after,11h50,7
Div4 Team 9,2020-03-29,after,21h15,4
Div5 Team 22,2020-04-11,after,21h00,1
Div5 Team 28,2020-03-26,before,19h55,7
Div3 Team 13,2020-04-18,before,20h15,1
Div2 Team 31,2020-04-17,before,09h35,9
Div5 Team 19,2020-04-02,after,22h10,8
